C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_36_725.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_36_725.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_36_725.jpg,0,0,0,1.54523
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_36_798.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_36_798.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_36_798.jpg,0,0,0,1.530193
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_36_869.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_36_869.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_36_869.jpg,0,0,0,1.518994
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_36_956.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_36_956.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_36_956.jpg,0,0,0,1.500479
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_026.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_026.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_026.jpg,0,0,0,1.48946
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_099.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_099.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_099.jpg,-0.15,0,0,1.474006
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_184.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_184.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_184.jpg,-0.35,0,0,1.456182
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_256.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_256.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_256.jpg,-0.5500001,0,0,1.436248
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_327.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_327.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_327.jpg,-0.7,0,0,1.419466
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_422.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_422.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_422.jpg,-0.9000002,0.1741521,0,1.494061
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_493.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_493.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_493.jpg,-1,0.418212,0,1.737792
C:\Users\Zeeshan\Desktop\SimulationData\IMG\center_2023_01_29_16_36_37_557.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\left_2023_01_29_16_36_37_557.jpg,C:\Users\Zeeshan\Desktop\SimulationData\IMG\right_2023_01_29_16_36_37_557.jpg,-1,0.6264333,0,2.245633
